"Subject","Start Date","Start Time","End Date","End Time","All day event","No End Time","Meeting Organizer","Phone","Email","Categories","Description","Location","Street","City","State or Province","Zip or Postal Code","Country","More Info","Duration (hh:mm:ss)","User Id","Event Id","Repeat Id"
"New Student Orientation","17/1/2023","11:00 am","17/1/2023","12:00 pm","False","False","Hollie Hinkle","","","Academics","

Contact: Hollie Hinkle
","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","163663758","0"
"Drop/Add Period","18/1/2023","12:00 am","18/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077326","4086622"
"Drop/Add Period","19/1/2023","12:00 am","19/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077327","4086622"
"Full Time Faculty - Faculty Meeting","19/1/2023","11:00 am","19/1/2023","12:00 pm","False","False","","","","Academics","

","Asher Science Center Room 112","","","","","","","01:00:00","20393","159463265","0"
"Sorority Recruitment","19/1/2023","4:00 pm","19/1/2023","12:00 am","False","False","","","","Greek Life","

","","","","","","","","08:00:00","584681","161880777","4224406"
"Drop/Add Period","20/1/2023","12:00 am","20/1/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077328","4086622"
"Sorority Recruitment","20/1/2023","4:00 pm","20/1/2023","12:00 am","False","False","","","","Greek Life","

","","","","","","","","08:00:00","584681","161880778","4224406"
"Sorority Recruitment","21/1/2023","4:00 pm","21/1/2023","12:00 am","False","False","","","","Greek Life","

","","","","","","","","08:00:00","584681","161880779","4224406"
"Innovatie Teaching Symposium","24/1/2023","11:00 am","24/1/2023","12:00 pm","False","False","Andrew Adler","","","Academics","Innovative Teaching Symposium The Innovative Teaching Symposium is an opportunity&nbsp;for faculty to share teaching practices their peers while simultaneously learning about&nbsp;other approaches. Teachers share something unique/effective in their teaching, or a new&nbsp;technique or project that colleagues could attempt in their own classroom. All part and&nbsp;full-time faculty are welcome and encouraged to participate in this informal, efficient development opportunity

Contact: Andrew Adler
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","20393","164680899","0"
"Academic Council","26/1/2023","11:00 am","26/1/2023","12:00 pm","False","False","","","","Academics","

","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","159463595","0"
"Welcome Back Bingo","30/1/2023","7:00 pm","30/1/2023","8:00 pm","False","False","","","","Activities Council","

","","","","","","","","01:00:00","584681","164889261","0"
"Founders' Day Convocation","31/1/2023","11:00 am","31/1/2023","12:00 pm","False","False","","","","Nexus","

","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","United States","","01:00:00","20393","157077336","0"
"Founders' Day Luncheon","31/1/2023","12:00 pm","31/1/2023","2:00 pm","False","False","","","","Academics","

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","02:00:00","20393","157077346","0"
"French Novel on Film: La Princesse de Clèves (1961)","1/2/2023","6:00 pm","1/2/2023","6:00 pm","False","True","","","","Academics","<p style=""background: white;""><em><span style=""font-size: 12.0pt; color: black; background: white;"">La Princesse de Cl&egrave;ves</span></em><span style=""font-size: 12.0pt; color: black; background: white;""> (1961), directed by Jean Delannoy and scripted by Jean Cocteau.</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; color: black; background: white;"">Based on Madame de Lafayette's 1678 novel <em>La Princesse de Cl&egrave;ves</em>.</span></p>

","Asher Science Center Room 112","","","","","","","06:00:00","20393","165097591","0"
"Full Time Faculty - Committee Meetings","2/2/2023","11:00 am","2/2/2023","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159459023","0"
"Where It Used to Be Blue - Exhibition Reception","2/2/2023","5:00 pm","2/2/2023","7:00 pm","False","False","","","","Nexus","""Where It Used to be Blue"" is a multi-media installation exhibition by artist Rachel Moser.&nbsp;The exhibition offers a vision of polar landscapes, inviting a consideration of their mythos, delicate ecology, and fraught geopolitical condition in a world where human civilization&nbsp;and the natural landscape are intrinsically linked.

","Anne Wright Wilson Fine Arts Gallery","Corner of E College and Mulberry streets","Georgetown","KY","40324","US","","02:00:00","20393","165030072","0"
"Preview Day","3/2/2023","12:00 am","3/2/2023","11:59 pm","True","False","","","","Admissions","

","","","","","","","","24:00:00","20393","161502246","0"
"Harlem Renaissance Party","3/2/2023","9:00 pm","3/2/2023","11:30 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Diversity","In celebration of Black History Month, the Office of Diversity and Inclusion will present a Harlem Renaissance Party in the Student Lounge for all Campus. We invite faculty, staff and students to join us for a great night.<br /><br />Music provided by: Marlin McKay Band<br /><br />The Harlem Renaissance was the development of the Harlem neighborhood in New York City as a Black cultural mecca in the early 20th Century and the subsequent social and artistic explosion that resulted. Lasting roughly from the 1910s through the mid-1930s, the period is considered a golden age in African American culture, manifesting in literature, music, stage performance and art.

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Cralle Student Center (Lounge)","400 East College Street","Georgetown","Kentucky","40324","","","02:30:00","105534","164763185","0"
"Board of Trustees Meeting","4/2/2023","8:00 am","4/2/2023","4:00 pm","False","False","","","","General","

","","","","","","","","08:00:00","580502","163254110","0"
"Chapel Service","7/2/2023","11:00 am","7/2/2023","12:00 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","159528537","0"
"CBF Interest Lunch","8/2/2023","11:00 am","8/2/2023","1:00 pm","False","False","","","","Academics","

","","","","","","","","02:00:00","584681","165397294","0"
"Cooperative Baptist Fellowship and CBF Kentucky Fair","9/2/2023","10:45 am","9/2/2023","12:45 pm","False","False","Derek Hatch","","","Academics","Representatives from the Cooperative Baptist Fellowship and CBF Kentucky will be on&nbsp;campus to talk about opportunities to partner with their work, including internship&nbsp;possibilities for students.

Contact: Derek Hatch
","Cralle Student Center Great Hall","400 E. College Street","Georgetown","KY","40503","United States","","02:00:00","20393","165269250","0"
"Full Faculty - Division Meetings","9/2/2023","11:00 am","9/2/2023","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159463195","0"
"Emerging Leaders Job Fair","9/2/2023","11:00 am","9/2/2023","1:00 pm","False","False","","","","Calling and Career","Job fair for students interested in on campus employment for 2023-24

","Porter Conference Room - Cralle Student Center","","","","","","","02:00:00","20393","165124567","0"
"Fighting Stress Through Deep Breathing","9/2/2023","5:30 pm","9/2/2023","5:30 pm","False","True","","","","Nexus","

","Asher Science Center Room 112","","","","","","","06:30:00","20393","165239137","0"
"Paint With Your Heart","9/2/2023","7:00 pm","9/2/2023","8:00 pm","False","False","","","","Activities Council","

","","","","","","","","01:00:00","584681","165397255","0"
"Sigma Kappa's Emerging Leaders Conference","10/2/2023","12:00 am","10/2/2023","11:59 pm","True","False","","","","Nexus","

","","","","","","","","24:00:00","20393","165383796","0"
"Metacognition Across the Disciplines","13/2/2023","4:00 pm","13/2/2023","5:00 pm","False","False","Andrew Adler","","","Academics","As part of the QEP, faculty and staff from across the campus will come together to discuss&nbsp;ways metacognition can be incorporated into their various disciplines and share ideas of&nbsp;how others can develop assignments and projects to support the development of student metacognition

Contact: Andrew Adler
","Ensor Learning Resource Center (Library)","Mulberry Street","Georgetown","KY","40324","USA","","01:00:00","20393","164680315","0"
"Cawthorne Lecture","14/2/2023","11:00 am","14/2/2023","12:00 pm","False","False","Jo Anna Fryman","","","Nexus","Dr. Bill Stevens, 2022 Cawthorne Fellow, will deliver the annual Cawthorne Lecture

Contact: Jo Anna Fryman
","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","160296853","0"
"Greek Week - Can-Struction","14/2/2023","11:00 am","14/2/2023","12:00 pm","False","False","","","","Greek Life","

","","","","","","","","01:00:00","584681","165467324","0"
"Cawthorne Luncheon","14/2/2023","12:00 pm","14/2/2023","2:00 pm","False","False","Jo Anna Fryman","","","Academics","

Contact: Jo Anna Fryman
","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","02:00:00","20393","160296857","0"
"Emerging Leaders Resume Workshop","14/2/2023","12:00 pm","14/2/2023","2:00 pm","False","False","","","","Calling and Career","

","","","","","","","","02:00:00","584681","165397311","0"
"Valentine's Day Trivia","14/2/2023","6:00 pm","14/2/2023","7:00 pm","False","False","","","","Activities Council","

","","","","","","","","01:00:00","584681","165466468","0"
"Greek Week - Faculty Appreciation","15/2/2023","9:00 am","15/2/2023","11:00 am","False","False","","","","Greek Life","

","","","","","","","","02:00:00","584681","165467364","0"
"French Novel on Film: Manon (1949)","15/2/2023","6:00 pm","15/2/2023","6:00 pm","False","True","","","","Nexus","<p style=""background: white;""><em><span style=""font-size: 12.0pt; color: black;"">Manon</span></em><span style=""font-size: 12.0pt; color: black;""> (1949), directed Henri-Georges Clouzot.</span></p>
<p style=""background: white;""><span style=""font-size: 12.0pt; color: black;"">Based on Abb&eacute; Pr&eacute;vost's 1731 novel <em>Manon Lescaut. </em></span></p>

","Asher Science Center Room 112","","","","","","","06:00:00","20393","165097659","0"
"How I Met the Pope: Baptists and Catholics Together - Dr. Derek Hatch","16/2/2023","3:30 pm","16/2/2023","3:30 pm","False","True","","","","Nexus","

","Jones-Hall-Nelson Suite (formerly Hall of Fame Room)","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","08:30:00","20393","165269355","0"
"Scholars Day","17/2/2023","12:00 am","17/2/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","165086777","0"
"KESDA State Speech Tournament","18/2/2023","12:00 am","18/2/2023","11:59 pm","True","False","Ed Smith","","","Academics","

Contact: Ed Smith
","Cafeteria","","","","","","","24:00:00","20393","164760833","4301510"
"KESDA State Speech Tournament","19/2/2023","12:00 am","19/2/2023","11:59 pm","True","False","Ed Smith","","","Academics","

Contact: Ed Smith
","Cafeteria","","","","","","","24:00:00","20393","164760834","4301510"
"Academic Progress Checks - Round I","20/2/2023","12:00 am","20/2/2023","11:59 pm","True","False","","","","Academics","

","","","","","","","","24:00:00","20393","157077358","0"
"Jo Shoop Women's Symposium - Danni Quintos","20/2/2023","3:30 pm","20/2/2023","4:30 pm","False","False","Holly Barbaccia","","","Nexus","Speaker: Danni Quintos

Contact: Holly Barbaccia
","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","164399079","0"
"Chapel Service","21/2/2023","11:00 am","21/2/2023","12:00 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","159528568","0"
"Accelerate Your Awesome: Start-up and Innovation Perspectives","21/2/2023","11:00 am","21/2/2023","12:00 pm","False","False","","","","Nexus","

","Asher Science Center Room 112","","","","","","","01:00:00","20393","165435624","0"
"Redding Lecture Dinner","21/2/2023","5:00 pm","21/2/2023","6:30 pm","False","False","","","","Academics","

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:30:00","20393","165463578","0"
"George Walker Redding Lecture","21/2/2023","7:00 pm","21/2/2023","7:00 pm","False","True","Derek Hatch","","","Nexus","<p><span style=""font-size: 12.0pt; font-family: 'Garamond',serif;"">Rev. Angela W. Gorrell, PhD&nbsp;</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 12.0pt; font-family: 'Garamond',serif;"">Presented by the Marshall Center for Christian Ministry in consultation with the Georgetown College Department of Religion</span></p>

Contact: Derek Hatch
","Ward Room, Ensor LRC","","","","","","","05:00:00","20393","163729976","0"
"Ash Wednesday Chapel Service","22/2/2023","6:30 pm","22/2/2023","7:30 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","165171478","0"
"Academic Council","23/2/2023","11:00 am","23/2/2023","12:00 pm","False","False","","","","Academics","

","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","159463598","0"
"Black History Month Series","23/2/2023","11:00 am","23/2/2023","12:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Nexus","Black History Month Series<br />Speaker: Miss Ukari Figgs, former WNBA player from Georgetown, Ky

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Ward Room, LRC","400 East College Street","Georgetown","Kentucky","40324","","","01:00:00","105534","162999183","0"
"Spotlight Career Fair","23/2/2023","1:00 pm","23/2/2023","5:30 pm","False","False","Faith Cracraft","5028637094","faith_cracraft@georgetowncollege.edu","Calling and Career","

Contact: Faith Cracraft
Email: faith_cracraft@georgetowncollege.edu
Phone: 5028637094
","Keeneland","4201 Versailles Rd","Lexington","KY","40510","US","","04:30:00","588628","160305108","0"
"New Student Orientation for International Students","24/2/2023","2:30 pm","24/2/2023","3:30 pm","False","False","","","","Academics","

","Porter Conference Room - Cralle Student Center","","","","","","","01:00:00","20393","165422451","0"
"Belle of the Blue & Beaus Too Scholarship Pageant","25/2/2023","6:00 pm","25/2/2023","6:00 pm","False","True","","","","Nexus","

","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","06:00:00","20393","165383775","0"
"Collier Lecture - The Intersection of Story and Science","28/2/2023","11:00 am","28/2/2023","12:00 pm","False","False","Karyn McKenzie","","","Nexus","Ashley Clayton is a GC alum who earned her undergraduate degree in psychology and her master's in community psychology. She is the recipient of GC's first Young Alumni Award. She has worked as a research program assistant and director at Yale Medical School since graduating with her master's. She is also a prolific publisher of research and a published author and poet.<br /><br />Ashley's presentation will focus on the intersection of story with science. She'll be discussing mental health and community based participatory research, including sharing her personal story of mental illness, her research, and what it's like to be a researcher in the field. She'll also challenge the audience to think about our subjectivity/objectivity, who we consider to be ""experts"", and how her work relates <br />to justice.

Contact: Karyn McKenzie
","Ward Room, Ensor LRC","","","","","","","01:00:00","20393","162680940","0"
"Black Soil KY - Farm-to-Table Event","28/2/2023","11:00 am","28/2/2023","12:00 pm","False","False","Robbi Barber","5028673539","robbi_barber@georgetowncollege.edu","Diversity","Black Soil KY - Farm-to-Table Event<br />In celebration of Black History Month, we are hosting a meal with produce purchased from local black farmers. The farmers will be present to talk about the farm-to-table process and Black Soil will give a presentation and how to purchase additional produce from the website.&nbsp;

Contact: Robbi Barber
Email: robbi_barber@georgetowncollege.edu
Phone: 5028673539
","Jones-Hall-Nelson Suite (formerly Hall of Fame Room)","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","105534","165633460","0"
"Mental Health and Dating Violence Informational","28/2/2023","11:00 am","28/2/2023","12:00 pm","False","False","","","","Health and Wellness","

","Asher Science Center Room 112","","","","","","","01:00:00","584681","165685980","0"
"Night Chapel Service","28/2/2023","6:30 pm","28/2/2023","7:30 pm","False","False","","","","Nexus","

","Hill Chapel","","","","","","","01:00:00","584681","165607530","0"
"Summer Internship Priority Date","1/3/2023","12:00 am","1/3/2023","11:59 pm","True","False","","","","Calling and Career","

","","","","","","","","24:00:00","26205","39380575","1040588"
"Education Department Unit Meeting","1/3/2023","2:30 pm","1/3/2023","5:00 pm","False","False","","","","Academics","

","Ward Room, Ensor LRC","","","","","","","02:30:00","20393","165614715","0"
"GAC informational","1/3/2023","6:00 pm","1/3/2023","7:00 pm","False","False","","","","Activities Council","

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","584681","165466518","0"
"MPC Club Escape Room Night","1/3/2023","6:00 pm","1/3/2023","9:00 pm","False","False","","","","Academics","Asher Room 102<br /><br /><br />The MPC Club has created an Escape Room, which is a series of puzzles that intrepid participants&nbsp;must solve in order to reach the final prize! Sign up for a time slot at the link below. We will&nbsp;also have board games and snacks in Asher Lobby (no sign up required!)&nbsp;<br />https://docs.google.com/spreadsheets/d/14XYvzoynTr2rttLGqj7Fi6yG2WkSs-<br />SaSVqlW1eG2fI/edit?usp=sharing

","Asher Science Center","400 East College St","Georgetown","KY","40324","USA","","03:00:00","20393","165661522","0"
"Full Time Faculty - Committee Meetings","2/3/2023","11:00 am","2/3/2023","12:00 pm","False","False","","","","Academics","

","","","","","","","","01:00:00","20393","159459028","0"
"Choir Conductor's Series Concert","5/3/2023","4:00 pm","5/3/2023","4:00 pm","False","True","Christopher Powell","","","Nexus","

Contact: Christopher Powell
","John L. Hill Chapel","400 E. College St","Georgetown","KY","40324","","","08:00:00","20393","161786694","0"
"Chapel Service","7/3/2023","11:00 am","7/3/2023","12:00 pm","False","False","","","","Nexus","

","","","","","","","","01:00:00","584681","159528719","0"
"Ministers Reading Group Kick-off","7/3/2023","12:00 pm","7/3/2023","1:00 pm","False","False","","","","Academics","

","Jones-Hall-Nelson Suite","Cralle Student Center-400 East College Street","Georgetown","KY","40324","US","","01:00:00","584681","165687187","0"
"Reception for Sir Malcom","8/3/2023","8:00 am","8/3/2023","9:00 am","False","False","Brad Hadaway","","","Academics","

Contact: Brad Hadaway
","Alumni House","","","","","","","01:00:00","20393","165879603","0"
